Примечание. Доставка в другие регионы настраивается в личном кабинете.";"Срок курьерской доставки товара по региону магазина.
Если поле не используется, срок доставки должен быть настроен в личном кабинете.";"Возможность самовывоза из пунктов выдачи. Если оставить поле пустым, будет считаться, что самовывоз есть.
Условия самовывоза в деталях (регионы, тарифы, сроки и т. п.) настраиваются в личном кабинете.";По региону магазина. Можно указать в этом поле или настроить в личном кабинете.;Заполняется автоматически. По умолчанию применяется для всех ваших магазинов, если вы не назначите цену для конкретного магазина.;Заполняется автоматически. По умолчанию применяется для всех ваших магазинов, если вы не назначите цену для конкретного магазина.
;;Bolidrgl1622;BOLId RGi 1622    ;13593;15140;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;13593;15140
;;Bp122A;Бп-12/2А ;6000;7463;2;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;6000;7463
;;Bp4N2;"БР4-И исп.2  ""Стрелец Интеграл""";5750;7380;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;5750;7380
;;Bp6A;БП-6А Блок питания;4000;5600;7;VAT_20;;;;;Поставки будут;;;;;;;;;;;;4000;5600
;;Bpo16gsm;БРО-16 GSM блок радиоканальный;18000;28000;2;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;18000;22000
;;Br2427;БР 24 2х7;2999;4780;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;2999;4780
;;BrelokEM;Брелок EM-marin;70;220;340;VAT_20;;8;;;Поставки будут;;;;;;;;;;;;70;220
;Неправильно указан вес товара:Вес товара не соответствует его габаритам — проверьте, правильно ли вы их указали;Bretelishyia;Бретели шуя ;322;479;;VAT_20;;2;;;;;;;;;;да;Есть;;Есть;;322;479
;;Briz;БРИЗ;850;2743;22;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1282;2743
;;Brizisp01;БРИЗ ИСП.01;1282;2570;19;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1282;2570
;;Buran2.52C;Буран-2,5-2С ;4446;7300;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;4446;7300
;;C2000M;С2000-М;11375;13025;0;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;11375;13025
;;C2000biisp01sniat;С2000-БИ исп.01 снят;12000;15999;2;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;12000;15999
;;C2000bki; С2000-БКи;7224;8740;0;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;8999;10000
;;C2000ip03; С2000-Ип-03;1254;2769;0;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;2999;3602
;;C2000ipg;С2000-ИПг;8000;10000;3;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;8000;10000
;;C2000k;С2000-к;15999;17000;1;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;15999;17000
;;C2000kbp; С2000-КПб;4999;6127;0;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;4564;6127
"Цена в магазине сильно изменилась:Товар помещён в&nbsp;Карантин (https://yandex.ru/support/marketplace/assortment/operations/prices.html#quarantine). Проверьте и&nbsp;актуализируйте цены или подтвердите, что новая указана правильно. После этого товар вернётся на&nbsp;витрину.

Старая цена: 9999 
Новая цена: 4695 
Изменение: x2,13";;C2000kc;С2000-Кс;4695;6240;2;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;9999;12000
;;C2000kt;С2000-Кт;1999;2470;2;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;2600;3400
;;C2000pi;С2000-Пи;9099;13000;2;VAT_20;;;;;Поставки будут;;;;;;;;;;;;9000;12000
;;C2000sniatsproizvodstvazamena2000;С2000 (снят с производства - замена с 2000 м) ;22000;27650;1;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;22000;27650
;;CCU422HOME;CCU422-HOME/W/PC;8404;15000;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;8404;15000
;;CCU825Home/W/AEPC;CCU825-Home/W/AE-PC;16000;24500;3;VAT_20;;;;;Поставки будут;;;;;;;;;;;;16000;24500
;;CPZ2L7vreznoiPlastik;CP-Z-2L-7 врезной пластик;1199;1999;2;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1199;1999
;;CR2032batareika;CR2032 батарейка    ;504;970;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;504;970
;;CR2430batareika;CR2430 батарейка       ;550;865;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;550;865
;;CamdriveCD120;CamDrive CD120 (3,6) Wi-Fi ;6500;12000;4;VAT_20;;;;;Поставки будут;;;;;;;;;;;;6500;12000
;;CamdriveCD600;CamDrive IP CD600 (4,3);12000;20000;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;12000;20000
;;Camezl22;CAMe Zl22    ;5773;7250;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;5773;7250
;;Commaxdp2strybkaperegovornaia;Commax DP-2S трубка переговорная с кнопкой управления замком     ;2366;3890;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;2366;3890
;;Commaxtp12rcperegovornoeystroistvo;Commax TP-12RC переговорное устройство с телефонной трубкой     ;1924;3470;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;1924;3470
;;DIMK;ДИМК;300;550;7;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;300;550
;;DIP31IP21231;ДИП-31 (ИП 212-31);570;1000;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;570;1000
;;DNS1datchikNalichiySeti;ДНС-1, датчик наличия сети;479;890;12;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;479;890
;;DSH204QP;HiWatch DS-H204QP;7999;8900;0;VAT_20;;;;;Поставок не будет;;;;;;;;;;;;;
;;DUBLICATORSK4;Dublicator SK-4;829;1550;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;829;1550
;;Dalnometrrgkd1500;RGK D1500 оптический дальномер ПОВЕРЕН;29990;37500;1;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;32000;37500
;;DatchicTempDLYGranitARA;Датчик температуры для Гранит-А/РА;450;990;2;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;450;990
;;DatchikVkluchPodsvPoJestu500vt20ip;Датчик включения подсветки по жесту, 500 Вт, белый, IP20																;1267;1999;;VAT_20;;;;;;;;;;;;да;;;;;1267;1999
;;Datshikdvijeniia1200vtip40;Датчик движения duwi ddp-01, 1200 вт, белый, ip40;1029;2390;1;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;1029;2390
;;Delitel6podFrazem51000MGC;Делитель ТВ х 6 под F разъём 5-1000 МГц;400;800;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;599;800
;;DelitelTV2podFrazem51000MGC;Делитель ТВ х 2 под F разъём 5-1000 МГц;120;350;0;VAT_20;;5;;;Поставки будут;;;;;;;;;;;;120;350
;;DelitelTV4podFrazem51000MGC;Делитель ТВ х 4 под F разъём 5-1000 МГц ;250;550;2;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;250;550
;;DerjatDLYognetSPASATEL01;Держатель для огнетушителя Спасатель-01;520;1100;3;VAT_20;;;;;Поставки будут;;;;;;;;;;;;520;1100
;;DerjatelTretyRukaSLupoi25HT390ZD10R;"Держатель ""третья рука"" с лупой 2,5 (НТ-390) (ZD-10R) ";600;1350;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;600;1350
;"Изображение не по правилам:Изображение по <a href=//avatars.mds.yandex.net/get-marketpic/6707219/pic1295b7c6c6cd91b67547a8176d3157fe/orig target=""_blank"">ссылке</a> не соответствует <a href='https://yandex.ru/support/marketplace/assortment/fields/index.html' target=""_blank"">правилам Маркета</a>. Оно неправильного размера. Исправьте ошибку и сохраните изменения.";DerjatelUglovoiDexter150ml;Держатель угловой Dexter 150 мм																;1127;2090;1;VAT_20;;;;;;;;;;;;да;Есть;;Есть;;1127;2090
;;Din6899d;Коуш DIN 6899 d 3мм    ;9;13;54;VAT_20;;56;;;Поставки будут;;;;;;;;;;;;9;13
;;Din6899d4mm;Коуш DIN 6899 d 4мм    ;10;17;23;VAT_20;;50;;;Поставки будут;;;;;;;;;;;;10;17
;;Dip34AIP21234A;ДИП-34А-03;1365;2100;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1365;2100
;;Dip34AIp21234A;ДИП-34А (ИП 212-34А)  ;1270;2200;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1270;2200
;;Diskalmazpokeramikedistar12512;Диск алмазный по керамике Distar 125х1.2 мм																;2128;3699;1;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;2128;3699
;;Dog;ДОГ в корпусе со звуком    ;660;1750;2;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;759;1750
;;Dogbezczvyk;ДОГ без корпуса, со звуком;850;1087;1;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;850;1087
;;Dopisp2;"Аврора-ДОР исп.2 ""Стрелец""";3400;4900;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;3400;4900
;;DovodchicDC603WhiteAtis;Доводчик DC-603 White Аtis;2200;3500;3;VAT_20;;;;;Поставки будут;;;;;;;;;;;;2200;3500
;;Dpm-3;ДПм-3 исп.00   ;398;560;10;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;398;560
;;Dpm1;ДПм-1     ;1730;3267;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1730;3267
;;Dpm301;ДПм-3 исп.01  ;365;527;4;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;365;527
;;Draiver12dc20;Драйвер ЭМЗ-12DC-2.0;280;437;2;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;280;437
;;Ds1990A;Микросхема-ключ DS 1990A (черный);28;43;0;VAT_20;;18;;;Поставки будут;;;;;;;;;;;;28;43
;;DsPWA96kITwE;HikVision DS-PWA96-KIT-WE комплект  ;19999;24700;1;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;19999;24700
;;Dspdbg8eg2we;HikVision DS-PDBG8-EG2-WE датчик разбития стекла беспроводной;3199;4710;3;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;3199;4710
;;Dspdmcwecmk;HikVision DS-PDMC-EG2-WE СМК-датчик беспроводной   ;2690;4753;3;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;3199;4753
;;Dspdp15peg2weik;HikVision DS-PDP15P-EG2-WE ИК-датчик беспроводной  ;2993;4950;2;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;3399;4950
;;Dspdpc12peg2we;HikVision DS-PDPC12P-EG2-WE ИК-датчик беспроводной;10009;13500;2;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;10990;13500
;;DublicatorURC431;Dublicator URC-4 V3.1;999;1890;13;VAT_20;;;;;Поставки будут;;;;;;;;;;;;999;1890
;;DublicatorURC4V11;Dublicator URC-4 V.1.1;899;1770;3;VAT_20;;;;;Поставки будут;;;;;;;;;;;;899;1770
;;Dybeli1118white100sht;Дюбель-хомут 11-18, белый (упак. 100шт);90;253;21;VAT_20;;5;;;Поставки будут;;;;;;;;;;;;90;253
;;Dybelid10l40yp100htblack;Дюбель d=10 х L40 мм  (упак. 100шт) черный (07-4512);140;295;10;VAT_20;;4;;;Поставки будут;;;;;;;;;;;;140;295
;;Dybelid81508whiteyp50;Дюбель d=8 с хомутом 150 х 8мм белый, (упак. 50шт) (07-0176)  ;189;347;1;VAT_20;;3;;;Поставки будут;;;;;;;;;;;;189;347
;;Dybelixomyt1118black;Дюбель-хомут 11-18, черный (упак. 100шт) ;100;245;22;VAT_20;;5;;;Поставки будут;;;;;;;;;;;;100;245
;;Dybelixomyt1925white;Дюбель-хомут 19-25, белый (упак. 100шт)    ;129;283;34;VAT_20;;4;;;Поставки будут;;;;;;;;;;;;129;283
;;Dybelixomyt510black;Дюбель-хомут 5-10, черный (упак. 100шт) ;79;245;38;VAT_20;;7;;;Поставки будут;;;;;;;;;;;;79;245
Вы не приняли заказ с этим товаром:Считаем, что его нет в наличии. Если товар доступен, верните его на витрину.;;Dybelixomyt510yp100;Дюбель-хомут 5-10, белый (упак. 100шт)  ;79;230;47;VAT_20;;7;;;Поставки будут;;;;;;;;;;;;79;230
;;E-605;Доводчик Е-605 (белый)     ;3359;4860;2;VAT_20;;;;;Поставки будут;;;;;;;;;;;;3359;4860
;;E1000r;Е 1000r;199;370;9;VAT_20;;3;;;Поставки будут;;;;;;;;;;;;199;370
;;ER143353.6vEEMBBatareika;ER14335 3.6v EEMB батарейка;229;490;0;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;229;490
;;Era500;ЭРа-500;13986;17520;0;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;13896;17520
;;Es4022;Провод 4х0,22 ES-04;500;600;300;VAT_20;;100;;;Поставки будут;;;;;;;да;Есть;;Есть;;500;600
;;ExitОПОП1-8;"ОПОП 1-8 ""ВЫХОД"",12В";;;;VAT_20;;;;;;;;;;;;;;;;;390;440
;;F0507Grey;F 05-07 Grey;336;550;21;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;336;550
;;FE-200W;FE-200w;1099;1999;2;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1099;1999
;;FE900P;FE-900P;650;1500;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;650;1500
;;FE910P;FE-910P;700;1500;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;700;1500
;;FTP2PR24AWGCAT5e305м;FTP 2PR 24AWG CAT5e 305м OUTDOOR экран ;512;600;105;VAT_20;;32;;;Поставки будут;;;;;;;да;Есть;;Есть;;512;600
;;FTP4PR24AWGCAT5e305мOptimLAN;FTP 4PR  24AWG  CAT5e 305м OptimLAN;588;699;;VAT_20;;21;;;Поставки будут;;;;;;;да;Есть;;Есть;;588;699
;;FTP4PR24AWGCAT5eOUTDOOROptimLAN305м;FTP 4PR 24AWG CAT5e OUTDOOR OptimLAN 305м;504;650;9;VAT_20;;;;;Поставки будут;;;;;;;да;Есть;;Есть;;504;650
;;Fe527;Брелок FE-527 RC;490;640;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;490;640
;;FiltrSmennuiA1B1E1K1dlyRPG500502005;Фильт сменный А1В1Е1К1 для РПГ 500502005																;314;590;1;VAT_20;;2;;;;;;;;;;да;Есть;;Есть;;314;590
;;FonarNalobArmiyRossiiGranitGA501;Фонарь налобный Армия России Гранит GA-501														;679;1110;1;VAT_20;;;;;;;;;;;;да;Есть;;Есть;;679;1110
;;Fotorele6A100vtWhiteIP44;Фотореле 6А, 100 Вт, белый, IP44																;379;750;;VAT_20;;2;;;;;;;;;;да;;;;;379;750
;;Fotoreleduwifr0210a2200vtip44;Фотореле Duwi FR-02 10А, 2200 Вт, белый, IP44																;547;712;1;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;547;712
;;Ftp4pr24awgcat5e35moutdoorskynet;FTP 4PR 24AWG CAT5e 305м OUTDOOR SkyNet  ;513;679;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;513;679
;;Fuvfu;Ящик для песка 0,5 куб (разборный) ;4999;6390;1;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;4999;6390
;Неправильно указан вес товара:Вес товара не соответствует его габаритам — проверьте, правильно ли вы их указали;Fytbolka;Футболка;499;670;;VAT_20;;2;;;;;;;;;;да;Есть;;Есть;;499;670
;;GPBelui;ГП- белый  ;77;125;2;VAT_20;;7;;;Поставки будут;;;;;;;;;;;;77;125
;;GPmetall;ГП-металл  ;69;102;37;VAT_20;;7;;;Поставки будут;;;;;;;;;;;;69;102
;;GSMSignalizatorExpressGSMvers2;"GSM-сигнализатор ""EXPRESS GSM"" верс.2 ";6570;10990;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;6570;10990
;;GSMsignalizatorPHOTOEXPR;"GSM-сигнализатор ""PHOTO EXPRESS GSM""";10370;17990;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;10370;17990
;;Gbdpluscrow;GBD PLUS (Crow)     ;452;799;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;452;799
;;Geniusplusikizvehateli;GENIUS-Plus ИК-извещатель    ;455;607;;VAT_20;;2;;;;;;;;;;да;Есть;;Есть;;455;607
;;Gnezdobnc0532034;Переход гнездо BNC - гнездо BNC (I-коннектор) (05-3203-4);23;37;28;VAT_20;;22;;;Поставки будут;;;;;;;;;;;;23;37
;;Gnezdof054201;"Переход гнездо F - гнездо F ""БОЧКА"" (05-4201)";19;34;204;VAT_20;;27;;;Поставки будут;;;;;;;;;;;;19;34
;;Gnezdof0542016;"Переход гнездо F - гнездо F ""БОЧКА"" без кольца (05-4201-6)";9;27;70;VAT_20;;56;;;Поставки будут;;;;;;;;;;;;9;27
;;Gnezdof0543044;Переход гнездо F - штекер RCA (05-4304-4)   ;12;27;0;VAT_20;;42;;;Поставки будут;;;;;;;;;;;;12;27
;;Gnezdofhtekertv0543034;Переход гнездо F - штекер TV (05-4303-4)   ;10;29;0;VAT_20;;50;;;Поставки будут;;;;;;;;;;;;10;29
;"Изображение не по правилам:Изображение по <a href=//avatars.mds.yandex.net/get-marketpic/7216846/pic746dd93148974993fa2b8b9ea6afa3c1/orig target=""_blank"">ссылке</a> не соответствует <a href='https://yandex.ru/support/marketplace/assortment/fields/index.html' target=""_blank"">правилам Маркета</a>. Оно неправильного размера. Исправьте ошибку и сохраните изменения.

Изображение не по правилам:Изображение по <a href=//avatars.mds.yandex.net/get-marketpic/7067269/pic2d046d6f4ea68f7ae53dbab3a0540e97/orig target=""_blank"">ссылке</a> не соответствует <a href='https://yandex.ru/support/marketplace/assortment/fields/index.html' target=""_blank"">правилам Маркета</a>. Оно неправильного размера. Исправьте ошибку и сохраните изменения.";Gofra16mmPNDsZondomBuhta100m;Гофра 16мм ПНД с зондом ( бухта 100м);1700;2000;500;VAT_20;;;;;Поставки будут;;;;;;;да;Есть;;Есть;;1700;2000
;"Изображение не по правилам:Изображение по <a href=//avatars.mds.yandex.net/get-marketpic/7883631/pic87d30055368c8ffb4c47c36b18c1d797/orig target=""_blank"">ссылке</a> не соответствует <a href='https://yandex.ru/support/marketplace/assortment/fields/index.html' target=""_blank"">правилам Маркета</a>. Оно неправильного размера. Исправьте ошибку и сохраните изменения.

Изображение не по правилам:Изображение по <a href=//avatars.mds.yandex.net/get-marketpic/6935711/pic10d00bb2151950d6a05789d26f14b4f6/orig target=""_blank"">ссылке</a> не соответствует <a href='https://yandex.ru/support/marketplace/assortment/fields/index.html' target=""_blank"">правилам Маркета</a>. Оно неправильного размера. Исправьте ошибку и сохраните изменения.";Gofra16mmPVHsZondomBuhta100m;Гофра 16мм ПВХ с зондом ( бухта 100м);1200;1600;800;VAT_20;;;;;Поставки будут;;;;;;;да;Есть;;Есть;;1200;1600
;;Gofra20mmpvxszondom100m;Гофра 20мм ПВХ с зондом ( бухта 100м) ;1540;2730;;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;1540;2730
;;Gofra20mmsZondomBuhta100m;Гофра 20мм ПНД с зондом ( бухта 100м);2200;3090;200;VAT_20;;;;;Поставки будут;;;;;;;;;;;;2200;3090
;;GorelkaGazRubakSpezorozligom;Горелка газовая Рыбак VertexTools с пьезорозжигом															;546;990;;VAT_20;;;;;;;;;;;;да;;;;;546;990
;;GrandMagistrSB30vers2;Гранд Магистр СБ 30 версия 2;4913;6800;2;VAT_20;;;;;Поставки будут;;;;;;;;;;;;4913;6800
;;Granit12;Гранит-12 ;8385;13200;3;VAT_20;;;;;Поставки будут;;;;;;;;;;;;8385;13200
;;Granit16;Гранит-16  ;9175;13250;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;9175;13250
;;Granit2;Гранит-2 ;7400;10300;3;VAT_20;;;;;Поставки будут;;;;;;;;;;;;7400;10300
;;Granit24;Гранит-24  ;10405;15000;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;10405;15000
;;Granit2AGSM;Гранит-2А ;13690;17000;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;13690;17000
;;Granit3;Гранит-3  ;7155;10000;3;VAT_20;;;;;Поставки будут;;;;;;;;;;;;7155;10000
;;Granit3AK;Гранит-3 Эк;;;3;VAT_20;;;;;Поставки будут;;;;;;;;;;;;6080;9990
;;Granit4;Гранит-4  ;7875;10500;3;VAT_20;;;;;Поставки будут;;;;;;;;;;;;7875;10500
;;Granit5;Гранит-5  ;7495;11200;4;VAT_20;;;;;Поставки будут;;;;;;;;;;;;7495;11200
;;Gryntovkadliavlajnpomaxton1l;Грунтовка для влажных помещений axton 1л;112;203;0;VAT_20;;5;;;;;;;;;;да;;;;;112;203
;;H002nzbhpk315nzb840650230;Ш-002НЗБ (ШПК-315НЗБ) белый ( 840х650х230)  ;2999;4500;0;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;2999;4500
;;HIWATCH007;HiWatch DS-I122 (2.8);;;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;4299;
;;HiWatchB020B;HiWatch IPC-B020(B) (2.8);6390;12500;1;VAT_20;Да;;;;Поставки будут;;;;;;;;;;;;6390;12500
;;HiWatchB022;HiWatch IPC-B022-G2/U(2.8);17090;23500;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;17090;23500
;;HiWatchB042;HiWatch IPC-B042-G2/U (2.8);9342;11000;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;18290;25300
;;HiWatchB622;HiWatch IPC-B622-G2/ZS (2.8-12);16220;18000;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;29990;38700
;;HiWatchD022;HiWatch IPC-D022-G2/S (2.8);17090;25000;2;VAT_20;;;;;Поставки будут;;;;;;;;;;;;17090;25000
;;HiWatchDSH216UA;HiWatch DS-H216UA   ;26000;29999;0;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;26000;29999
;;HiWatchDSH308Q;HiWatch DS-H308Q    ;8856;10470;0;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;8856;10470
;;HiWatchDSH308QA;HiWatch DS-H308QA   ;8900;11320;0;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;8900;11320
;;HiWatchDSH3242Q;HiWatch DS-H324/2Q   ;23000;27400;0;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;23000;27400
;;HiWatchDSI114W;HiWatch DS-I114W (2,8);5999;7500;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;;
;;HiWatchDSI250WС28;HiWatch DS-I250W(С) (2.8) ;7112;9430;0;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;7112;9430
;;HiWatchDSI253L28;HiWatch DS-I253L (2.8)  ;5475;6980;5;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;5475;6980
;;HiWatchDSI400С;HiWatch DS-I400(С) (2.8) ;6671;7920;7;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;6671;7920
;;HiWatchDSN204PС;HiWatch DS-N204P(С) ;8407;9960;0;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;8407;9960
;;HiWatchDSN204c;HiWatch DS-N204(C) ;5135;6740;0;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;5135;6740
;;HiWatchDSN208C;HiWatch DS-N208(C) ;6871;8490;3;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;6871;8490
;;HiWatchDSN208PС;HiWatch DS-N208P(С) ;12280;13920;1;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;12280;13920
;;HiWatchDSN3162C;HiWatch DS-N316/2(C) ;9550;12290;0;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;9550;12290
;;HiWatchDSN3162PC;HiWatch DS-N316/2P(C) ;27640;31999;0;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;27640;31999
;;HiWatchDSN316C;HiWatch DS-N316(C) ;12280;15490;0;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;12280;15490
;;HiWatchDSN3322В;HiWatch DS-N332/2(В) ;21697;25942;0;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;21697;25942
;;HiWatchDST203L(2.8);HiWatch DS-T203L (2.8)   ;2464;3700;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;2464;3700
;;HiWatchDST203А(2.8);HiWatch DS-T203А  (2.8);2531;3750;3;VAT_20;;;;;Поставки будут;;;;;;;;;;;;2531;3750
;;HiWatchDST204(2.8);HiWatch DS-T204 (2.8);2492;3230;13;VAT_20;;;;;Поставки будут;;;;;;;;;;;;2492;3230
;;HiWatchDST208(28);HiWatch DS-T208 (2.8)  ;6895;8350;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;6895;8350
;;HiWatchDST220S(B)2.8;HiWatch DS-T220S(B) (2.8) ;3392;4890;5;VAT_20;;;;;Поставки будут;;;;;;;;;;;;3392;4890
;;HiWatchDST245;HiWatch DS-T245 ;13000;16420;2;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;13000;16420
;;HiWatchDST25128;HiWatch DS-T251 (2.8) ;3298;4950;8;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;3298;4950
;;HiWatchDST500A28;HiWatch DS-T500A (2.8) ;2900;4320;1;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;2900;4320
;;HiWatchNVR208M;HiWatch NVR-208M-K/8P;17900;19200;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;31490;45000
;;HikVisioniDS7216HQHIM1FA;HikVision iDS-7216HQHI-M1/FA   ;22745;;1;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;22745;26510
;;HikvisionDS2CE12DFTF36;Hikvision DS-2CE12DFT-F (3.6)  ;4750;6590;2;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;4750;6590
;;HikvisionDS2CE72DFTF36;Hikvision DS-2CE72DFT-F (3.6)    ;;;;VAT_20;;;;;;;;;;;;;;;;;3882;5410
;;Hikvisionds2cd2543gois;HikVision DS-2CD2543G0-IS    ;12334;13990;3;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;12334;13990
;;Hitpojarn12101100;Щит пожарный металлический открытого типа без комплекта (1210*1100)  ;4313;6480;4;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;5000;6480
;;Hitrasprediliteliniekhome;Щит распределительный навесной IEK Home КМПн 2/6 6 модулей																;389;571;;VAT_20;;2;;;;;;;;;;да;Есть;;Есть;;389;571
;;Hiwatch;HiWatch DS-H208UA(B)    ;13563;15199;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;13563;15199
;;Hiwatchds1450l28;HiWatch DS-I450L (2.8) ;7000;9310;0;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;7000;9310
;;Hiwatchdsh216qab;HiWatch DS-H216QA(B)   ;12481;14199;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;12481;14199
;;Hiwatchdss1008gpkommytator;HiWatch DS-S1008GP коммутатор    ;7473;9999;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;7473;9999
;;Hiwatchdss1816pbkommytator;HiWatch DS-S1816P(B) коммутатор      ;16155;19500;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;16155;19500
;;Hiwatchdst500c28;HiWatch DS-T500(C) (2.8) ;3000;4750;3;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;3000;4750
;;Hiwatchipct020b28;HiWatch IPC-T020(B) (2.8mm)    ;4735;6177;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;4735;6177
;;Hiwatchvdpd2211wvzvnaipaneli;HiWatch VDP-D2211W вызывная панель       ;10073;12999;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;10073;12999
;;Hiwatchvdph3211wvideodomofon;HiWatch VDP-H3211W видеодомофон;15690;17340;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;15690;17340
