Примечание. Доставка в другие регионы настраивается в личном кабинете.";"Срок курьерской доставки товара по региону магазина.
Если поле не используется, срок доставки должен быть настроен в личном кабинете.";"Возможность самовывоза из пунктов выдачи. Если оставить поле пустым, будет считаться, что самовывоз есть.
Условия самовывоза в деталях (регионы, тарифы, сроки и т. п.) настраиваются в личном кабинете.";По региону магазина. Можно указать в этом поле или настроить в личном кабинете.;Заполняется автоматически. По умолчанию применяется для всех ваших магазинов, если вы не назначите цену для конкретного магазина.;Заполняется автоматически. По умолчанию применяется для всех ваших магазинов, если вы не назначите цену для конкретного магазина.
;;1592610;Евровилка угловая с ушком белая 16А;;;0;VAT_20;;8;;;Поставки будут;;;;;;;;;;;;60;90
;;159825;Сетевой фильтр 5 гнезд 5м;500;650;2;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;500;650
;;192837;Журнал технического обслуживания огнетушителей;;;14;VAT_20;;6;;;Поставки будут;;;;;;;;;;;;75;112
;;199369;ML-295K с уголком;3227;3469;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;3227;3469
;;1ace202m;RVi-1ACE202M (2,7-12);6270;9000;5;VAT_20;;;;;Поставки будут;;;;;;;;;;;;;
;;1p16A45;Автоматический выключатель ВА 47-29 1Р 16А 4,5 кА  х-ка С ИЭК;128;275;0;VAT_20;;4;;;Поставки будут;;;;;;;;;;;;128;275
;;212-41MIP;ИП 212-41М ;;;7;VAT_20;;;;;Поставки будут;;;;;;;;;;;;500;643
;;212-43M;ИП 212-43М ;;;2;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1036;2642
;;215689;ARTOL-4   229 (датчик);;;10;VAT_20;;4;;;Поставки будут;;;;;;;;;;;;123;156
;;228228;Головка пож. ГЦ-50;;;11;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;176;264
;;24717;HiWatch DS-T233 (2.8);1930;5000;2;VAT_20;;;;;Поставки будут;;;;;;;;;;;;;
;;270mmgoldvkl;Выключатель с цепочкой 270 мм, gold;100;270;8;VAT_20;;5;;;Поставки будут;;;;;;;;;;;;100;270
;;28092;HiWatch DS-T200А (2.8);2531;4169;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;;
;;283746;Журнал учета инструктажей по пожарной безопасности;;;0;VAT_20;;6;;;Поставки будут;;;;;;;;;;;;75;112
;;29672;HiWatch DS-I253M(B) (2.8);6671;12000;5;VAT_20;;;;;Поставки будут;;;;;;;;;;;;;
;;32145697445;Polyvision PQ-IP2-B2.8MAW v.5.5.1 (2.8);6000;6696;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;6000;6696
;;3381;Infinity SRD-2000EX (3,6);7894;9999;4;VAT_20;;;;;Поставки будут;;;;;;;;;;;;7894;9999
;;342167;Головка пож. ГМ-50;;;11;VAT_20;;3;;;Поставки будут;;;;;;;;;;;;146;219
;;344123;ивс-1   ;120;180;1;VAT_20;;5;;;Поставки будут;;;;;;;;;;;;;
;;345216;Головка пож. ГМ-80;509;764;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;509;764
;;345678; Октава -220В;;;22;VAT_20;;;;;Поставки будут;;;;;;;;;;;;567;666
;Изменения в карточку не приняты:Несколько ваших товаров привязаны к одной и той же карточке. Изменения в карточку мы принимаем, только если вы редактируете товар 133264. Пожалуйста, внесите правки именно на странице этого товара.;34568;БП АТ-12/30;1300;3552;20;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1300;3552
;;369852147;HiWatch DS-I214W(C) (2.8);7739;9000;6;VAT_20;;;;https://disk.yandex.ru/i/dHK6lMnn3gT8Xw;Поставки будут;;;;;;;;;;;;10540;13000
;;3883;ББП-80 исп.1;5328;5609;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;;
;;3c2v100m;3C-2V (100м) ;504;673;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;504;673
;;421Pk2;Астра-421 исп. РК2 снят;3200;3999;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1765;3450
;;432156;Маяк-12-КП;;;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;800;999
;;433214;ИВЭПР 12/2 2х12 Бр;;;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;5194;6999
;;4358;Сетевой фильтр 5 гнезд 1.8м;500;699;5;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;500;699
;;4476520;ARTOL-3P  003 (датчик);250;296;8;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;250;296
;;4532;Секатор цельнокованый Spark 7003 230 мм рез 25мм;500;700;18;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;500;700
;;454335;"БЗЛ-ШП ""АЯКС"" исп.01";1900;3447;2;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1900;3447
;;454684;RR-2t;4000;5000;10;VAT_20;;;;;Поставки будут;;;;;;;;;;;;;
;;455158;RS-FX-mm;10000;13000;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;;
;;456789;бп ат-12/15;;;4;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1300;3552
;;456798;"ИБ-Р исп.3 ""Стрелец"" ";;;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;5999;8998
;;4569;Знаки П/Б  Звуковой оповещатель пожарной тревоги (100х100);;;147;VAT_20;;15;;;Поставки будут;;;;;;;;;;;;30;43
;;4656521;Z-5R Net;3590;5000;3;VAT_20;;;;;Поставки будут;;;;;;;;;;;;;
;;4668;"АРФА-2Р  ""Стрелец""";3699;5000;7;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;3699;5000
;;467378843;Удлинитель бытовой Lexman 5 розеток с заземлением 3х0.75 мм																;478;632;1;VAT_20;;2;;;;;;;;;;да;Есть;;Есть;;478;632
